Ciudad,Descripcion,Precio,Superficie
Sevilla,"Piso en San Vicente, Sevilla",1.1,90 
Sevilla,"Piso en Arroyo - Santa Justa, Sevilla",1.25,140 
Sevilla,"Piso en calle parlamento, sevilla, s/n, Parlamento - Torneo, Sevilla",850.0,95 
Sevilla,"Piso en Feria, Sevilla",850.0,90 
Sevilla,"Piso en calle Antonia Díaz, s/n, Arenal - Museo - Tetuán, Sevilla",1.5,140 
Sevilla,"Piso en Parque de los Principes - Calle Niebla, Sevilla",950.0,92 
Sevilla,"Piso en calle Maestro Arrieta, Ronda de Triana-Patrocinio-Turruñuelo, Sevilla",650.0,90 
Sevilla,"Piso en Arroyo - Santa Justa, Sevilla",1.2,110 
Sevilla,"Piso en Plaza de la Gavidia-San Lorenzo, Sevilla",740.0,65 
Sevilla,"Piso en Nervión, Sevilla",850.0,97 
Sevilla,"Piso en calle Cardenal Ilundain, La Palmera - Manuel Siurot, Sevilla",1.2,110 
Sevilla,"Piso en Arenal - Museo - Tetuán, Sevilla",1.5,120 
Sevilla,"Estudio en callejón Amapola, 3, Feria, Sevilla",525.0,Bajo 
Sevilla,"Piso en Calle Betis - Pagés del Corro, Sevilla",950.0,72 
Sevilla,"Piso en Santa Cruz - Alfalfa, Sevilla",950.0,82 
Sevilla,"Estudio en avenida la Aeronáutica, Avenida de las Ciencias, Sevilla",480.0,Planta 1ª 
Zaragoza,"Piso en calle Vicente Monforte, 43, San José, Zaragoza",600.0,45 
Zaragoza,"Piso en San Pablo, Zaragoza",600.0,70 
Zaragoza,"Piso en plaza Aragón, Paseo Independencia, Zaragoza",1.8,200 
Zaragoza,"Piso en Barrio de la Paz, Zaragoza",525.0,50 
Zaragoza,"Piso en Barrio del AVE, Zaragoza",555.0,70 
Zaragoza,"Piso en paseo Teruel, 4, Doctor Cerrada, Zaragoza",550.0,67 
Zaragoza,"Piso en Doctor Cerrada, Zaragoza",825.0,65 
Zaragoza,"Piso en teruel, 12, Doctor Cerrada, Zaragoza",565.0,63 
Zaragoza,"Piso en calle Oviedo, 121, Barrio de la Paz, Zaragoza",480.0,75 
Zaragoza,"Piso en ARZOBISPO DOMENECH, 14, Paseo Sagasta, Zaragoza",660.0,90 
Zaragoza,"Piso en calle de Ramón y Cajal, 26, Plaza de Toros, Zaragoza",880.0,83 
Zaragoza,"Piso en calle José Moncasi, 11, Paseo Sagasta, Zaragoza",900.0,145 
Zaragoza,"Piso en calle Flores, 6, La Granja, Zaragoza",590.0,68 
Zaragoza,"Piso en calle San Juan de la Cruz, 13, Universidad San Francisco, Zaragoza",625.0,60 
Zaragoza,"Piso en Parque de los Cineastas, Zaragoza",572.0,75 
Zaragoza,"Piso en calle Ricla, 9, Doctor Cerrada, Zaragoza",550.0,65 
Zaragoza,"Piso en pasaje de la Vía, 11, Parque Miraflores, Zaragoza",620.0,68 
Zaragoza,"Piso en paseo de Sagasta, 50, Paseo Sagasta, Zaragoza",950.0,115 
Zaragoza,"Piso en SAN ANTONIO DE PADUA, 65, Barrio de la Paz, Zaragoza",560.0,67 
Zaragoza,"Piso en calle Francisco de Vitoria, Paseo de la Constitución - Las Damas, Zaragoza",750.0,95 
Zaragoza,"Piso en Ciudad Jardín - Parque Roma, Zaragoza",500.0,55 
Zaragoza,"Piso en calle Gavín, La Magdalena, Zaragoza",520.0,50 
Zaragoza,"Piso en calle San Miguel, 25, Paseo Independencia, Zaragoza",1.3,185 
Zaragoza,"Piso en La Magdalena, Zaragoza",500.0,48 
Zaragoza,"Piso en Aries, Valdefierro, Zaragoza",600.0,107 
Zaragoza,"Piso en calle de Antonio Agustín, 4, La Magdalena, Zaragoza",600.0,59 
Zaragoza,"Piso en calle Pascual Albero Burillo, La Magdalena, Zaragoza",640.0,58 
Zaragoza,"Piso en avenida de la Almozara, Almozara, Zaragoza",630.0,80 
Zaragoza,"Piso en calle Hermanos Gimeno Vizarra, 19, Barrio Torrero, Zaragoza",480.0,67 
Zaragoza,"Piso en avenida de César Augusto, 45, San Pablo, Zaragoza",380.0,39 
